=== Building runtime with case_study_instantiation_time feature ===
=== Building inferlib dependencies ===
=== Building std/text-completion ===
=== Building sdk/examples-inferlib cases ===

============================================================
  text-completion (0 inferlib deps, 1000 runs)
============================================================
  Starting engine... installing deps... warm-up... done.
  Run 92/1000: submitting... store+linker=375.3 us, deps=0.5 us, app=181.2 us, total=557.6 us
  Run 93/1000: submitting... store+linker=291.7 us, deps=0.4 us, app=158.7 us, total=451.2 us
  Run 94/1000: submitting... store+linker=293.5 us, deps=0.6 us, app=160.1 us, total=454.6 us
  Run 95/1000: submitting... store+linker=172.8 us, deps=0.5 us, app=120.2 us, total=293.7 us
  Run 96/1000: submitting... store+linker=326.5 us, deps=0.5 us, app=164.8 us, total=492.4 us
  Run 97/1000: submitting... store+linker=175.4 us, deps=0.3 us, app=122.4 us, total=298.3 us
  Run 98/1000: submitting... store+linker=319.0 us, deps=0.5 us, app=161.4 us, total=481.5 us
  Run 99/1000: submitting... store+linker=174.7 us, deps=0.3 us, app=117.6 us, total=292.9 us
  Run 100/1000: submitting... store+linker=156.7 us, deps=0.3 us, app=120.6 us, total=278.0 us
  Run 101/1000: submitting... store+linker=175.7 us, deps=0.6 us, app=118.0 us, total=294.5 us
  Run 102/1000: submitting... store+linker=342.6 us, deps=0.6 us, app=182.8 us, total=526.5 us
  Run 103/1000: submitting... store+linker=187.4 us, deps=0.3 us, app=145.5 us, total=333.5 us
  Run 104/1000: submitting... store+linker=310.7 us, deps=0.7 us, app=198.7 us, total=510.6 us
  Run 105/1000: submitting... store+linker=319.6 us, deps=0.4 us, app=163.6 us, total=484.0 us
  Run 106/1000: submitting... store+linker=296.6 us, deps=0.4 us, app=155.4 us, total=452.8 us
  Run 107/1000: submitting... store+linker=296.5 us, deps=0.6 us, app=161.0 us, total=458.5 us
  Run 108/1000: submitting... store+linker=169.3 us, deps=0.5 us, app=125.8 us, total=295.9 us
  Run 109/1000: submitting... store+linker=298.1 us, deps=0.5 us, app=163.7 us, total=462.8 us
  Run 110/1000: submitting... store+linker=297.4 us, deps=0.5 us, app=183.4 us, total=481.7 us
  Run 111/1000: submitting... store+linker=293.7 us, deps=0.5 us, app=171.4 us, total=466.0 us
  Run 112/1000: submitting... store+linker=332.8 us, deps=0.7 us, app=162.5 us, total=496.4 us
  Run 113/1000: submitting... store+linker=319.4 us, deps=0.6 us, app=175.8 us, total=496.3 us
  Run 114/1000: submitting... store+linker=172.8 us, deps=0.4 us, app=118.0 us, total=291.5 us
  Run 115/1000: submitting... store+linker=320.9 us, deps=0.4 us, app=162.0 us, total=483.7 us
  Run 116/1000: submitting... store+linker=320.0 us, deps=0.9 us, app=161.4 us, total=483.0 us
  Run 117/1000: submitting... store+linker=381.7 us, deps=0.8 us, app=185.3 us, total=568.4 us
  Run 118/1000: submitting... store+linker=377.5 us, deps=0.6 us, app=186.5 us, total=565.1 us
  Run 119/1000: submitting... store+linker=405.2 us, deps=0.5 us, app=180.5 us, total=586.9 us
  Run 120/1000: submitting... store+linker=343.7 us, deps=0.8 us, app=191.5 us, total=536.6 us
  Run 121/1000: submitting... store+linker=310.1 us, deps=0.4 us, app=183.5 us, total=494.6 us
  Run 122/1000: submitting... store+linker=345.0 us, deps=0.5 us, app=214.6 us, total=560.6 us
  Run 123/1000: submitting... store+linker=319.9 us, deps=0.5 us, app=161.9 us, total=482.7 us
  Run 124/1000: submitting... store+linker=303.5 us, deps=0.4 us, app=160.1 us, total=464.4 us
  Run 125/1000: submitting... store+linker=362.1 us, deps=0.7 us, app=184.0 us, total=547.3 us
  Run 126/1000: submitting... store+linker=337.5 us, deps=0.5 us, app=157.2 us, total=495.7 us
  Run 127/1000: submitting... store+linker=297.9 us, deps=0.4 us, app=163.0 us, total=461.7 us
  Run 128/1000: submitting... store+linker=328.9 us, deps=0.5 us, app=178.9 us, total=508.8 us
  Run 129/1000: submitting... store+linker=290.5 us, deps=0.5 us, app=152.1 us, total=443.4 us
  Run 130/1000: submitting... store+linker=169.2 us, deps=0.3 us, app=120.1 us, total=289.9 us
  Run 131/1000: submitting... store+linker=303.5 us, deps=0.5 us, app=188.9 us, total=493.4 us
  Run 132/1000: submitting... store+linker=388.9 us, deps=0.6 us, app=183.7 us, total=573.6 us
  Run 133/1000: submitting... store+linker=297.2 us, deps=0.5 us, app=170.4 us, total=468.5 us
  Run 134/1000: submitting... store+linker=353.7 us, deps=0.7 us, app=181.5 us, total=536.3 us
  Run 135/1000: submitting... store+linker=334.4 us, deps=0.7 us, app=202.9 us, total=538.5 us
  Run 136/1000: submitting... store+linker=360.5 us, deps=0.7 us, app=181.4 us, total=543.3 us
  Run 137/1000: submitting... store+linker=321.0 us, deps=0.5 us, app=156.6 us, total=478.6 us
  Run 138/1000: submitting... store+linker=336.5 us, deps=0.5 us, app=160.7 us, total=498.3 us
  Run 139/1000: submitting... store+linker=303.6 us, deps=0.4 us, app=171.4 us, total=476.0 us
  Run 140/1000: submitting... store+linker=187.7 us, deps=0.5 us, app=120.8 us, total=309.1 us
  Run 141/1000: submitting... store+linker=166.8 us, deps=0.3 us, app=140.1 us, total=307.3 us
  Run 142/1000: submitting... store+linker=308.0 us, deps=0.4 us, app=159.6 us, total=468.4 us
  Run 143/1000: submitting... store+linker=290.1 us, deps=0.4 us, app=161.4 us, total=452.4 us
  Run 144/1000: submitting... store+linker=322.9 us, deps=0.8 us, app=165.4 us, total=489.6 us
  Run 145/1000: submitting... store+linker=177.7 us, deps=0.4 us, app=118.8 us, total=297.1 us
  Run 146/1000: submitting... store+linker=381.8 us, deps=0.6 us, app=185.7 us, total=568.7 us
  Run 147/1000: submitting... store+linker=358.9 us, deps=0.4 us, app=159.0 us, total=518.8 us
  Run 148/1000: submitting... store+linker=298.8 us, deps=0.5 us, app=162.9 us, total=462.7 us
  Run 149/1000: submitting... store+linker=243.9 us, deps=0.3 us, app=136.4 us, total=381.0 us
  Run 150/1000: submitting... store+linker=163.2 us, deps=0.2 us, app=119.4 us, total=283.1 us
  Run 151/1000: submitting... store+linker=156.3 us, deps=0.3 us, app=109.2 us, total=266.1 us
  Run 152/1000: submitting... store+linker=367.4 us, deps=0.4 us, app=166.0 us, total=534.4 us
  Run 153/1000: submitting... store+linker=310.6 us, deps=0.5 us, app=186.4 us, total=497.9 us
  Run 154/1000: submitting... store+linker=299.2 us, deps=0.5 us, app=183.0 us, total=483.0 us
  Run 155/1000: submitting... store+linker=313.9 us, deps=0.5 us, app=189.0 us, total=503.8 us
